,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M2_09_115,hi dolt alse hi wel selue siet,None,hi doolt als hi wel selue ghiet,hine doelt soe hi selue siet,None,hi doelt als hi selue siet,None,None,hine doelt als hijt selue siet,hi doelde also hi selue siet:,None,None,None,als hi wel in hemseluen siet,None,None,hine doelt alse hi wel ziet
M2_09_116,hine constem niet bedwinghen,None,hi en conste sijn harte dwinghen,hine conste sijn herte niet bedwingen,None,hi en conste niet bedwinghen,None,None,hine const hem niet bedwingen,hine conste sijn herte bedwingen:,None,None,None,nochtan const hi hem niet bedwinghen,None,None,sine conste sijn herte bedwingen
M2_09_117,hine staerf bi desen dinghen,None,hi starf van desen dinghen,hine sterf bi desen dingen,None,hi en starf by dese dinghen,hi en sterf bi desen dingen,None,hine sterf bij desen dinghen,hine sterf bi desen dingen:,None,None,None,hi en staerf bi deesen dijnghen,None,None,hi sterf bi desen dingen
M2_10_118,medea toghet ons selue dat,None,medea toocht ons selue dat,medea toent ons selue dat,None,medea toghet ons selue dat.,None,None,medea toont ons selue dat,medea toecht ons selue dat:,None,None,None,medea toecht ons selue dat,None,None,medea toent ons selue dat
M2_10_119,die rouede ende stal haers vader scat,None,die rouede ende stal hairs vaders scat,die rouede ende stal haers vader scat,None,die roofde ende stal haer vaders scat.,None,None,die rouede ende stal hairs vaders scat,die roefde ende stal hars vader scat:,None,None,None,die roofde ende stal haers vaders scat,None,None,die rouede ende stal haers vader scat
M2_10_120,ende verslouch haren broeder,None,ende verslouch haren broeder,ende versloech haren broeder,None,ende versloech haren broeder,None,None,ende verslouch haren broeder,ende versloech haren broeder:,None,None,None,ende vermoorde haeren broeder,None,None,ende sloech haren broeder
M2_10_121,om jazoene dies haer cume bat,None,om jazonne dies hair cume bat,om nasoene dies haer cume bat,None,om iasoen die haer cume bat/,None,None,om naersoen dies hair cume bat,om iasoene dies hare cume bat:,None,None,None,om jazone dies haer cumebat,None,None,om nasoen dies haer cume bat
M2_10_122,soe liet coninc rike ende scat,None,si liet conincrike ende stat,si liet conincrike ende scat,None,sy liet conincrijke ende stat:,liet sij conincrijc ende stadt,None,sij liet conincrike ende scat,si liet conincrike ende scat:,None,None,None,soe liet coninc rijke ende scat,None,None,si liet conincrike ende st/cat
M2_10_123,vader suster ende moeder,None,vader zuster ende moeder,None,None,vader suster ende moeder,None,None,vader ende suster ende moeder,vader suster broeder:,None,None,None,vader zuster ende moeder,None,None,vader suster moeder
M2_10_124,nochtan daer soe alleene sat,None,nochtanne dair so allene zat,None,None,nochtan daer sy alleene sat,None,None,nochtan daer sij alleene sat,nochtan daer si selue sat:,None,None,None,nochtan daer zij alleene zat,None,None,nochtan daer si alleene sat
M2_10_125,wijsde hare redene den rechten pat,None,wijsde hair redene den rechten pat,wijsde haer redene den rechten pat,None,wijsde haer reden den rechten pat:,None,None,wijsde haer redene den rechten pat,wijsde har redene den rechten pat:,None,None,None,wijsde haer redene den rechten pat,None,None,wijsde haer reden den rechten pat
M2_10_126,al volghede soe den loeder,None,al volghede so den loeder.,al volget si den loeder,None,al volghede sy den loeder.,None,None,al volghede zij den loeder,al volge si den loeder:,None,None,None,al volgde zij den loeder,None,None,al volgde si den loeder
M2_10_127,maer therte was hare so mat,None,mer tharte was hare so mat,maer therte was haer soe mat,None,maer therte was haer soe mat,None,None,maer therte was hair so mat,mer therte dat was hare so mat:,None,None,None,maer therte was haer zo mat,None,None,maer therte was haer soe mat
M2_10_128,daer minne in hadde ghemaect .i. gat,None,dair minne in hadde gemaict j. gat,daer minne in had gemaect .j. gat,None,daer minne had in gemaect een gat,None,None,dair minne in hadde gemaect .j. gat,daer minne in hadde gemaect een gat:,None,None,None,daer minne in hadde ghemaect .j. gat,None,None,daer minne in maecte een gat
M2_10_129,wille hilt den roeder,None,wille helt den roeder,wille hielt den loeder,None,wille hielt den roeder,None,None,wille hielt den roeder,wille hilt den roeder,None,None,None,wille hilt den roeder,None,None,wille hilt den roeder
M2_10_130,al was die redene vroeder,None,al was die redene vroeder,al was die redene vroeder,None,al was die reden vroeder,None,None,al was die redene vroeder,al was de redene vroeder:,None,None,None,al was redene vroeder,None,None,al was reden vr...eder
M2_11_131,exempel vindic sonder ghetal,None,exempelen vindic sonder getal,exemple vindic sonder getal,None,exempel vinde ick sonder ghetal,None,None,exempel vindic sonder getal,exempel vindic sonder getal:,None,None,None,exempel vindic sonder ghetal,None,None,exempel vindic ...nder getal
M2_11_132,die met mi souden lyen al,None,die mit mi souden lien al,die met mi souden lien al,None,die met mi souden liden al,None,None,die met mi lyen souden al,die met mi souden lien al:,None,None,None,die met my zouden lyen al,None,None,die met mi souden lien al
M2_11_133,dat ic hare tleuen gaue,None,dat ic hare tleuen gaue,dat ic haer dleuen gaue,None,dat ick haer tleuen gaue,None,None,dat ic haer dleuen gaue,dat ic hare dleuen gaue:,None,None,None,dat ic haer tleuen gaue,None,None,datic haer dleuen gaue
M2_11_134,die mi therte rouede ende stal,None,die mi tharte rouede ende stal,die mi therte rouede ende stal,None,die mi therte roofde ende stal,None,None,die mi therte rouede ende stal,die mi therte roefde ende stal:,None,None,None,die mi therte roofde ende stal,None,None,die mi rouede ende stal
M2_11_135,iacop mac mi gheen ghescal,None,jacop maec mi gheen gescal,jacop maect mi geen gescal,None,iacop maect my gheen ghescal,None,None,iacop maect gheen ghescal,jacop en maect mi geen gescal:,None,None,None,jacop en maect ons gheen ghescal,None,None,jacop maec geen gescal
M2_11_136,hier en sceedicx niet ave,None,hier sceidics niet aue,hier en scedics niet aue,None,hier en scheyde ick niet aue,None,None,hier en scedics niet aue,hier en schedics niet aue:,None,None,None,hier met en scede icx niet aue,None,None,hier sceedix m/niet aue
M2_11_137,al tvolc dat woent sonder ghetal,None,al tvolc dat woent sonder getal,al tfolc dat woent sonder getal,None,al tvolck dat woent sonder ghetal,None,None,al tfolc dat woent sonder getal,al tfolc dat woent sonder getal:,None,None,None,al tvolc dat woent zonder ghetal,None,None,altfolc dat woent sonder getal
M2_11_138,beede vp berch ende vp dal,None,bede op berg ende in dal,jnt lant op berch ende int dal,None,beyde op berghe ende in dal,None,None,int lant op berch ende int dal,jn borge in steden ouer al:,None,None,None,bede vp berch ende int dal,None,None,beide op berch ende int dal
M2_11_139,eist coninc ofte graue,None,jst coninc ist graue,None,None,eest coninck oft graue,None,None,coninc hertoghe ofte graue,coninc hertoge ende graue:,None,None,None,eist coninc ofte graue,None,None,coninc hertoge graue
M2_11_140,dijn proeuen wert hier jeghen smal,None,dijn prouen wart hier jegen smal,dijn proeuen waer hier iegen smal,None,dijn proeuen is hier tieghen smal.,None,None,diin proeuen waer hier ieghen smal,dijn proeuen ware hier iegen smal:,None,None,None,dijn prouuen wert hier ieghen smal,None,None,haer proeuen wert hier iegen smal
M2_11_141,hen sal niet wert sijn een bal,None,hen sal niet wairt zijn een bal,en sal di niet waert sijn een bal,None,ende en sal niet waert sijn een bal,None,None,en sal dij niet weert siin een bal,en sal di niet wert sijn enen bal:,None,None,None,en zal el niet zijn dan een bal,None,None,hine sal di niet waert sijn een bal
M2_11_142,ghevullet met draue,None,gheuollet mit draue,geuult met caue,None,gheuollet met caue.,None,None,ghevult met caue,al geuult met caue:,None,None,None,gheuult met soghten caue,None,None,gheuult met caue
M2_11_143,also helpe mi sente baue,None,also help mi sinte baue,alsoe hulpe mi sinte baue,None,soe helpt my sinte baue:,None,None,alsoe hulpe mi sinte baue,also hulpe mi sente baue:,None,None,None,alzo helpe my sente baue.,None,None,soe hulpe mi sente baue
M2_12_144,iacop du best een stout seriant,None,martin du best een stout seriant,merten du best een stout seriant,None,martijn du biste een stout seriant,None,None,merten du best een stout seriant,mertijn du bes een stout seriant:,None,None,None,martin du best .j. stout sergant,None,None,merten du best .j. stont seriant
M2_12_145,dats .i. vast cnoep ende .i. vast bant,None,dats een vaste knoop ende j. vaste bant,dats een vast cnoop ende bant,None,dats een vaste knoop een vaste bant,None,None,dats een vast knoop ende bant,dats een vast cnoep ende een vast bant:,None,None,None,dats een vast cnoop ende .j. bant,None,None,dats een vast knoep ende bant
M2_12_146,die niemen mach ontbinden,None,die nieman en can ontbinden,die niemant en can ontbinden,None,die nyemant en can ontbinden.,None,None,die niement en can ontbinden,die niemen en can ontbinden:,None,None,None,die niement mach ontbinden,None,None,die niemen can ontbinden
M2_12_147,die cnoep die alexander bant,None,die knoop die alexander vant,den cnoop die alexander bant,None,den knoop die alexander vant/,None,None,den knoop die alexander bant,dien cnoep dien alexander vant:,None,None,None,den cnoop die alexander bant,None,None,die cnoep die alexander vant
M2_12_148,ontcnochte sijn zwaert niet sijn hant,None,ontknochte zijn zwairt niet zijn hant,ontknocht sijn swaert niet sijn hant,None,ontknocht sijn zwaert met zijnre hant,None,None,ontknocht siin zweert niet sijn hant,ontcnoechte sijn swert metter hant:,None,None,None,ontknochte zijn zweert niet zijn hant,None,None,ontknochte zijn swaert ... hant
M2_12_149,alse hijs hem wilde bewinden,None,als hijs hem wilde bewinden,als hijs hem wilde bewinden,None,als hijs hem wil bewinden,None,None,als hijs hem wilde bewinden,als hijs hem woude bewinden:,None,None,None,als hijs hes wilde bewinden,None,None,alse hijs hem w...e bewinden
M2_12_150,laet ghetaken an uwen cant,None,laet mi ghenaken an dinen cant,laet mi genaken an dinen cant,None,laet my ghenaken aen uwen cant,None,None,laet mi ghenaken an dinen kant,laet mi genaken an dinen cant:,None,None,None,laet my ghenaken an uwen cant,None,None,laet mi genaken uwen cant
M2_12_151,men sal hu vroetscap te hant,None,ghi sult noch verste vroescap te hant,men sal v vroetscap al te hant,None,vwe vroetscap suldi te hant.,None,None,men sal v vroetscap te hant,men sal dijn vroetscap alte hant:,None,None,None,ghi zult v vroescap al te hant,None,None,men sal v wijsheit te hant
M2_12_152,tellen metten kinden,None,tellen mitten kinden,tellen metten kinden,None,tellen metten kinden,None,None,tellen metten kinden,tellen metten kinden:,None,None,None,tellen metten kinde,None,None,tellen metten kinden
M2_12_153,also vele alse dieden mach .i. zant,None,also vele als dieden mach een zant,alsoe vele als dieden mach .j. s.e,None,alsoe vele als helpt een sant,None,None,also vele als dieden mach een sant,also vele als dieden mach een sant:,None,None,None,alzo vele als diden mach .j. sant,None,None,alsoe vele als dieden mach .j.// //sant
M2_12_154,ieghen casselberghe in vlaenderlant,None,jeghen cassenberch in vlaenderlant,jegen casselberch in vlaenderlant,None,ieghen casselberch in vlaenderlant,None,None,jeghen casselberch in vlaenderlant,jegen casselberch in vlaenderlant:,None,None,None,jeghen casselberch in vlaenderlant,None,None,jegen casselberch in vlaenderlant
M2_12_155,sal dieden hier hu vinden,None,sal dieden hier v binden,sal di.den hier v vinden,None,sal dieden hier v vinden.,None,None,sal dieden hier v vinden,sal dieden nu dijn vinden:,None,None,None,sal dieden nu v vinden,None,None,sal dieden hier v vinden
M2_12_156,al waendi mi verblinden,None,al waendi mi verblinden,al waendi mi verblinden,None,al waendi mi verblinden,None,None,al waendi mi verblinden,al waendi nu verblinden:,None,None,None,al waendi my verblinden,None,None,al waendi mi verblinden
M2_13_157,ghi wilt sterken uwe wort,None,ghi wilt starcken uwe woirt,ghi wilt sterken uwe woert,None,ghi wilt stercken uwe woert,None,None,ghij wilt stercken uwe woirt,ghi wilt sterken uwe woert:,None,None,None,ghi wilt sterken uwe woort,None,None,ghi wilt sterken uwe wort
M2_13_158,die ghi nv hier bringhet vort,None,die ghi ons hier bringhet voirt,die ghi met fauelen brinct voort,None,die ghi hier bringhet voert,dat ghi hier bringhet voort,None,die ghij met fabulen brinct voirt,die gi met fauelen bringet vort:,None,None,None,die ghi hier nu bringhet voort,None,None,die gi met fauelen brinct vort
M2_13_159,met truffen ende met poetrien,None,mit trufen ende mit poetrien,ende met poterien,None,met fabulen ende poetrien.,met fabulen ende poeterijen,None,off met poeteryen/,ende met potrien:,None,None,None,met truffen ende poetrien,None,None,ende ...¨ poterien
M2_13_160,of medea dede moort,None,ende medea dede die moort,oft medea dede moert,None,of medea dede moert,oft medea dede moort,None,oft medea dede moort,of te medea dede moert:,None,None,None,oft medea dede moort,None,None,oft m...ea dede mort
M2_13_161,ende hem naersus heuet versmort,None,of hem merchisus heeft versmoirt,ende hem narsisus heeft versmoort,None,ende narciscus heeft versmoert,ende hem narcisius heeft versmoort,None,ende hem narciscus heeft versmoort,ende narsius hem heeft versmoert,None,None,None,ende hem narchisus versmoort,None,None,ende hem narsisus heuet versmoort
M2_13_162,dats minne van sottien,None,dits minne van zottien,None,None,dits minne van sottien.,dits minne van sottyen,None,dats minne van sottyen,dits minne van sottien:,None,None,None,dits minne van sottien,None,None,dats minne van sottien
M2_13_163,dit wort minne ende datter toe hort,None,dit woort minne ende datter toehoirt,minne ende datter toehoort,None,minne ende datter toe behoert,minne ende datter toebehoort,None,minne / ende datter toebehoort,dit woert minne ende datter toe behoert,None,None,None,dit woort minne ende datter toe hoort,None,None,minne ende datter toe hoert
M2_13_164,en was met minnen noit begort,None,ne was noyt mit sonden begoort,was met sonden nie becoort,None,en was met sonden nye begoert,en was met sonden nye betoort,None,was met sonden niet becoort,en was met sonden nie becoert:,None,None,None,en was met zonden nie begoort,None,None,was met sonde noit becort
M2_13_165,noch met ribaudien,None,noch mit ribaeudien,oft met ribaudien,None,noch oeck met ribaudien/,wien dat reyne minne becoort,None,oft met ribaudyen,noch met ribaudien:,None,None,None,noch met raboudien,None,None,None
M2_13_166,wien dat reine minne becort,None,wien so reyne minne becoort,wie soe reyne minne becoort,None,wient reyn minne becoert,hi en mach niet sijn verdoort,None,wie zo reine minne becoort,wien so reine minne begoert:,None,None,None,wien dat reine minne becoort,None,None,None
M2_13_167,diene mach niet sijn bedort,None,die en mach niet zijn verdoort,hine mach niet sijn verdoort,None,hi en mach niet sijn verdoert,None,None,hine mach niet ziin verdoort,hine mach niet sijn verdoert:,None,None,None,hine mach niet zijn verdoort,None,None,hine mach niet sijn uerdort
M2_13_168,dies sullen met mi lyen,None,dies sullen mit mi lien,dies selen met mi lyen,None,dies sullen met mij lien.,None,None,dies selen met mi lien,dies selen met mi lien:,None,None,None,dit zullen met my lyen,None,None,des selen met lien
